txn_ref,status,match_type,exception_reason,ledger_amount,settlement_amount,confidence,severity,recommended_action,detail,evidence
TXN21010,EXCEPTION,,duplicate_settlement,13122.09,13122.09,100,HIGH,Verify which settlement entry is genuine before reconciling; do not release funds twice. Escalate to the payment gateway if unclear.,2 settlement entries found for this reference (expected exactly 1). Needs manual review to determine which is valid.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""duplicate_count"": 2}"
TXN21011,MATCHED,exact,,1243.1,1243.1,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21012,MATCHED,fee_adjusted,,4737.14,4632.92,99,,,"Settlement is 2.20% below ledger amount (₹104.22), consistent with a gateway fee deduction.","{""reference_similarity"": 100, ""amount_similarity"": 0.978, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 99.23, ""amount_gap"": 104.22, ""candidate_count"": 1}"
TXN21013,MATCHED,exact,,7227.49,7227.49,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21014,MATCHED,fee_adjusted,,8613.39,8441.12,99,,,"Settlement is 2.00% below ledger amount (₹172.27), consistent with a gateway fee deduction.","{""reference_similarity"": 100, ""amount_similarity"": 0.98, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 99.3, ""amount_gap"": 172.27, ""candidate_count"": 1}"
TXN21015,EXCEPTION,,partial_payment,2176.23,978.09,71,MEDIUM,Confirm with the gateway whether this was an intentional partial settlement (e.g. a dispute hold) or an error requiring a follow-up payment.,Settlement amount (₹978.09) is ₹1198.14 (55.1%) below the ledger amount (₹2176.23) -- too large to be a normal gateway fee. Likely a partial payment or refund.,"{""reference_similarity"": 100, ""amount_similarity"": 0.4494, ""date_similarity"": 1.0, ""fee_consistency"": 0.0, ""candidate_score"": 70.73, ""amount_gap"": 1198.14, ""candidate_matches"": [{""candidate_ref"": ""TXN21015"", ""score"": 100, ""amount_gap"": 1198.14}], ""candidate_count"": 1}"
TXN21016,MATCHED,fee_adjusted,,10431.93,10202.43,99,,,"Settlement is 2.20% below ledger amount (₹229.50), consistent with a gateway fee deduction.","{""reference_similarity"": 100, ""amount_similarity"": 0.978, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 99.23, ""amount_gap"": 229.5, ""candidate_count"": 1}"
TXN21017,MATCHED,timing_offset,,9464.24,9464.24,89,,,"Amount matches exactly; settlement lagged ledger by 6 day(s), within the normal settlement window.","{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 0.25, ""fee_consistency"": 1.0, ""candidate_score"": 88.75, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21018,MATCHED,exact,,17876.86,17876.86,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21019,MATCHED,exact,,1808.73,1808.73,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21020,MATCHED,exact,,17162.13,17162.13,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21021,MATCHED,exact,,10551.26,10551.26,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21022,MATCHED,fee_adjusted,,15505.8,15118.16,99,,,"Settlement is 2.50% below ledger amount (₹387.64), consistent with a gateway fee deduction.","{""reference_similarity"": 100, ""amount_similarity"": 0.975, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 99.13, ""amount_gap"": 387.64, ""candidate_count"": 1}"
TXN21023,EXCEPTION,,missing_ledger_entry,,9260.21,40,MEDIUM,Confirm this sale was recorded correctly in the merchant's books; may indicate a booking-system sync issue rather than a payment issue.,"Settlement received but no corresponding ledger entry exists. Possible unrecorded sale, or a booking-system sync issue.","{""reference_similarity"": 100, ""amount_similarity"": 0.0, ""date_similarity"": 0.0, ""fee_consistency"": 0.0, ""candidate_score"": 40.0, ""amount_gap"": null, ""candidate_matches"": [{""candidate_ref"": ""TXN21028"", ""score"": 87.5}, {""candidate_ref"": ""TXN21025"", ""score"": 87.5}], ""candidate_count"": 2, ""review_reason"": ""close_fuzzy_candidates_exist""}"
TXN21024,MATCHED,fee_adjusted,,5139.76,5047.24,99,,,"Settlement is 1.80% below ledger amount (₹92.52), consistent with a gateway fee deduction.","{""reference_similarity"": 100, ""amount_similarity"": 0.982, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 99.37, ""amount_gap"": 92.52, ""candidate_count"": 1}"
TXN21025,EXCEPTION,,missing_settlement,11311.76,,40,MEDIUM,Follow up with the payment gateway on why this settlement never arrived; check for a failed payout or a data feed gap.,"Ledger expects this transaction but no matching settlement was received. Possible payment failure, delayed payout beyond window, or gateway data gap.","{""reference_similarity"": 100, ""amount_similarity"": 0.0, ""date_similarity"": 0.0, ""fee_consistency"": 0.0, ""candidate_score"": 40.0, ""amount_gap"": null, ""candidate_matches"": [{""candidate_ref"": ""TXN21023"", ""score"": 87.5}], ""candidate_count"": 1, ""review_reason"": ""close_fuzzy_candidates_exist""}"
TXN21026,MATCHED,timing_offset,,16177.19,16177.19,92,,,"Amount matches exactly; settlement lagged ledger by 4 day(s), within the normal settlement window.","{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 0.5, ""fee_consistency"": 1.0, ""candidate_score"": 92.5, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21027,MATCHED,timing_offset,,10825.85,10825.85,92,,,"Amount matches exactly; settlement lagged ledger by 4 day(s), within the normal settlement window.","{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 0.5, ""fee_consistency"": 1.0, ""candidate_score"": 92.5, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21028,EXCEPTION,,missing_settlement,2264.35,,40,MEDIUM,Follow up with the payment gateway on why this settlement never arrived; check for a failed payout or a data feed gap.,"Ledger expects this transaction but no matching settlement was received. Possible payment failure, delayed payout beyond window, or gateway data gap.","{""reference_similarity"": 100, ""amount_similarity"": 0.0, ""date_similarity"": 0.0, ""fee_consistency"": 0.0, ""candidate_score"": 40.0, ""amount_gap"": null, ""candidate_matches"": [{""candidate_ref"": ""TXN21023"", ""score"": 87.5}], ""candidate_count"": 1, ""review_reason"": ""close_fuzzy_candidates_exist""}"
TXN21029,MATCHED,exact,,1117.35,1117.35,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21030,MATCHED,fee_adjusted,,11673.77,11440.29,99,,,"Settlement is 2.00% below ledger amount (₹233.48), consistent with a gateway fee deduction.","{""reference_similarity"": 100, ""amount_similarity"": 0.98, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 99.3, ""amount_gap"": 233.48, ""candidate_count"": 1}"
TXN21031,MATCHED,fee_adjusted,,11323.59,10768.73,98,,,"Settlement is 4.90% below ledger amount (₹554.86), consistent with a gateway fee deduction.","{""reference_similarity"": 100, ""amount_similarity"": 0.951, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 98.28, ""amount_gap"": 554.86, ""candidate_count"": 1}"
TXN21032,EXCEPTION,,partial_payment,9136.43,3937.59,70,MEDIUM,Confirm with the gateway whether this was an intentional partial settlement (e.g. a dispute hold) or an error requiring a follow-up payment.,Settlement amount (₹3937.59) is ₹5198.84 (56.9%) below the ledger amount (₹9136.43) -- too large to be a normal gateway fee. Likely a partial payment or refund.,"{""reference_similarity"": 100, ""amount_similarity"": 0.431, ""date_similarity"": 1.0, ""fee_consistency"": 0.0, ""candidate_score"": 70.08, ""amount_gap"": 5198.84, ""candidate_matches"": [{""candidate_ref"": ""TXN21032"", ""score"": 100, ""amount_gap"": 5198.84}], ""candidate_count"": 1}"
TXN21033,MATCHED,timing_offset,,2831.38,2831.38,94,,,"Amount matches exactly; settlement lagged ledger by 3 day(s), within the normal settlement window.","{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 0.625, ""fee_consistency"": 1.0, ""candidate_score"": 94.38, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21034,EXCEPTION,,excessive_settlement_delay,8992.45,8992.45,85,LOW,Usually resolves on its own; flag for follow-up only if it exceeds the gateway's stated maximum settlement window.,"Settlement date is 20 days after the ledger order date, beyond the normal 7-day settlement window.","{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 0.0, ""fee_consistency"": 1.0, ""candidate_score"": 85.0, ""amount_gap"": 0.0, ""candidate_matches"": [{""candidate_ref"": ""TXN21034"", ""score"": 100, ""amount_gap"": 0.0}], ""candidate_count"": 1}"
TXN21035,MATCHED,exact,,10835.83,10835.83,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21036,MATCHED,exact,,16024.14,16024.14,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21037,MATCHED,exact,,7111.34,7111.34,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21038,MATCHED,exact,,14425.31,14425.31,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21039,MATCHED,exact,,15578.97,15578.97,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21040,MATCHED,fee_adjusted,,15044.95,14307.75,98,,,"Settlement is 4.90% below ledger amount (₹737.20), consistent with a gateway fee deduction.","{""reference_similarity"": 100, ""amount_similarity"": 0.951, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 98.29, ""amount_gap"": 737.2, ""candidate_count"": 1}"
TXN21041,MATCHED,exact,,13574.86,13574.86,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21042,MATCHED,exact,,19292.68,19292.68,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21043,MATCHED,exact,,14886.04,14886.04,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21044,EXCEPTION,,settlement_exceeds_ledger,3510.73,4077.92,91,MEDIUM,"Investigate the source of the extra funds -- could be a refund reversal, a correction credit, or a gateway error. Do not assume it's a bonus.","Settlement amount (₹4077.92) is ₹567.19 HIGHER than the ledger amount (₹3510.73) -- gateway paid more than the merchant's books expected. Possible refund reversal, correction credit, or duplicate top-up.","{""reference_similarity"": 100, ""amount_similarity"": 0.8384, ""date_similarity"": 1.0, ""fee_consistency"": 0.6769, ""candidate_score"": 91.11, ""amount_gap"": -567.19, ""candidate_matches"": [{""candidate_ref"": ""TXN21044"", ""score"": 100, ""amount_gap"": -567.19}], ""candidate_count"": 1}"
TXN21045,EXCEPTION,,excessive_settlement_delay,15208.05,15208.05,85,MEDIUM,Usually resolves on its own; flag for follow-up only if it exceeds the gateway's stated maximum settlement window.,"Settlement date is 14 days after the ledger order date, beyond the normal 7-day settlement window.","{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 0.0, ""fee_consistency"": 1.0, ""candidate_score"": 85.0, ""amount_gap"": 0.0, ""candidate_matches"": [{""candidate_ref"": ""TXN21045"", ""score"": 100, ""amount_gap"": 0.0}], ""candidate_count"": 1}"
TXN21046,MATCHED,exact,,3836.03,3836.03,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21047,EXCEPTION,,settlement_exceeds_ledger,14913.29,15821.08,97,MEDIUM,"Investigate the source of the extra funds -- could be a refund reversal, a correction credit, or a gateway error. Do not assume it's a bonus.","Settlement amount (₹15821.08) is ₹907.79 HIGHER than the ledger amount (₹14913.29) -- gateway paid more than the merchant's books expected. Possible refund reversal, correction credit, or duplicate top-up.","{""reference_similarity"": 100, ""amount_similarity"": 0.9391, ""date_similarity"": 1.0, ""fee_consistency"": 0.8783, ""candidate_score"": 96.65, ""amount_gap"": -907.79, ""candidate_matches"": [{""candidate_ref"": ""TXN21047"", ""score"": 100, ""amount_gap"": -907.79}], ""candidate_count"": 1}"
TXN21048,MATCHED,fee_adjusted,,9455.11,9266.01,99,,,"Settlement is 2.00% below ledger amount (₹189.10), consistent with a gateway fee deduction.","{""reference_similarity"": 100, ""amount_similarity"": 0.98, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 99.3, ""amount_gap"": 189.1, ""candidate_count"": 1}"
TXN21049,MATCHED,exact,,5366.86,5366.86,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21050,MATCHED,timing_offset,,13534.42,13534.42,94,,,"Amount matches exactly; settlement lagged ledger by 3 day(s), within the normal settlement window.","{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 0.625, ""fee_consistency"": 1.0, ""candidate_score"": 94.38, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21051,EXCEPTION,,excessive_settlement_delay,18289.66,18289.66,85,MEDIUM,Usually resolves on its own; flag for follow-up only if it exceeds the gateway's stated maximum settlement window.,"Settlement date is 14 days after the ledger order date, beyond the normal 7-day settlement window.","{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 0.0, ""fee_consistency"": 1.0, ""candidate_score"": 85.0, ""amount_gap"": 0.0, ""candidate_matches"": [{""candidate_ref"": ""TXN21051"", ""score"": 100, ""amount_gap"": 0.0}], ""candidate_count"": 1}"
TXN21052,MATCHED,exact,,8747.61,8747.61,100,,,Amount and date match exactly.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""candidate_count"": 1}"
TXN21053,MATCHED,fee_adjusted,,3069.65,2992.91,99,,,"Settlement is 2.50% below ledger amount (₹76.74), consistent with a gateway fee deduction.","{""reference_similarity"": 100, ""amount_similarity"": 0.975, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 99.13, ""amount_gap"": 76.74, ""candidate_count"": 1}"
TXN21054,EXCEPTION,,duplicate_settlement,11007.36,11007.36,100,HIGH,Verify which settlement entry is genuine before reconciling; do not release funds twice. Escalate to the payment gateway if unclear.,2 settlement entries found for this reference (expected exactly 1). Needs manual review to determine which is valid.,"{""reference_similarity"": 100, ""amount_similarity"": 1.0, ""date_similarity"": 1.0, ""fee_consistency"": 1.0, ""candidate_score"": 100.0, ""amount_gap"": 0.0, ""duplicate_count"": 2}"
